"연령별(1)",연령별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"연령별(1)",연령별(2),기장군,기장군,기장군,기장읍,기장읍,기장읍,장안읍,장안읍,장안읍,정관읍,정관읍,정관읍,일광읍,일광읍,일광읍,철마면,철마면,철마면
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"총계",소계,178729,88536,90193,52152,25466,26686,8846,4790,4056,80372,39796,40576,29676,14607,15069,7683,3877,3806
"0세∼4세",소계,5782,2989,2793,1139,580,559,199,112,87,2900,1489,1411,1469,768,701,75,40,35
"0세∼4세",0세,880,451,429,205,100,105,34,17,17,411,202,209,221,128,93,9,4,5
"0세∼4세",1세,1055,529,526,218,105,113,38,19,19,491,247,244,294,149,145,14,9,5
"0세∼4세",2세,1166,604,562,219,118,101,43,22,21,564,289,275,326,167,159,14,8,6
"0세∼4세",3세,1274,676,598,251,131,120,40,21,19,672,367,305,290,148,142,21,9,12
"0세∼4세",4세,1407,729,678,246,126,120,44,33,11,762,384,378,338,176,162,17,10,7
"5세∼9세",소계,9861,5015,4846,1575,809,766,178,86,92,6008,3090,2918,1914,938,976,186,92,94
"5세∼9세",5세,1582,779,803,281,134,147,37,20,17,891,445,446,346,170,176,27,10,17
"5세∼9세",6세,1772,916,856,302,174,128,32,19,13,1041,530,511,369,176,193,28,17,11
"5세∼9세",7세,2071,1026,1045,337,165,172,35,12,23,1250,630,620,404,204,200,45,15,30
"5세∼9세",8세,2165,1104,1061,315,153,162,35,15,20,1382,726,656,396,183,213,37,27,10
"5세∼9세",9세,2271,1190,1081,340,183,157,39,20,19,1444,759,685,399,205,194,49,23,26
"10세∼14세",소계,10613,5453,5160,1875,1007,868,203,99,104,6840,3506,3334,1461,734,727,234,107,127
"10세∼14세",10세,2136,1097,1039,339,188,151,43,20,23,1372,692,680,342,180,162,40,17,23
"10세∼14세",11세,2340,1205,1135,388,205,183,49,29,20,1517,786,731,337,166,171,49,19,30
"10세∼14세",12세,2222,1150,1072,376,206,170,46,22,24,1455,752,703,301,153,148,44,17,27
"10세∼14세",13세,2103,1063,1040,411,220,191,30,11,19,1322,667,655,279,133,146,61,32,29
"10세∼14세",14세,1812,938,874,361,188,173,35,17,18,1174,609,565,202,102,100,40,22,18
"15세∼19세",소계,8464,4389,4075,2026,1039,987,199,115,84,5082,2646,2436,970,501,469,187,88,99
"15세∼19세",15세,1838,938,900,383,177,206,39,19,20,1156,622,534,216,102,114,44,18,26
"15세∼19세",16세,1881,973,908,426,213,213,41,21,20,1208,635,573,171,90,81,35,14,21
"15세∼19세",17세,1615,816,799,405,219,186,38,26,12,937,451,486,190,99,91,45,21,24
"15세∼19세",18세,1561,827,734,394,210,184,38,21,17,911,479,432,185,103,82,33,14,19
"15세∼19세",19세,1569,835,734,418,220,198,43,28,15,870,459,411,208,107,101,30,21,9
"20세∼24세",소계,7724,4110,3614,2461,1295,1166,387,221,166,3432,1786,1646,1213,659,554,231,149,82
"20세∼24세",20세,1530,832,698,450,242,208,64,35,29,789,431,358,185,98,87,42,26,16
"20세∼24세",21세,1503,822,681,480,265,215,62,38,24,721,390,331,204,108,96,36,21,15
"20세∼24세",22세,1508,828,680,490,263,227,71,45,26,641,343,298,261,147,114,45,30,15
"20세∼24세",23세,1656,858,798,551,281,270,96,53,43,665,327,338,284,152,132,60,45,15
"20세∼24세",24세,1527,770,757,490,244,246,94,50,44,616,295,321,279,154,125,48,27,21
"25세∼29세",소계,8650,4609,4041,3133,1673,1460,511,331,180,3094,1605,1489,1590,811,779,322,189,133
"25세∼29세",25세,1580,854,726,570,303,267,79,53,26,582,288,294,291,172,119,58,38,20
"25세∼29세",26세,1682,884,798,612,318,294,106,57,49,602,315,287,310,164,146,52,30,22
"25세∼29세",27세,1734,937,797,624,334,290,103,72,31,634,348,286,309,145,164,64,38,26
"25세∼29세",28세,1821,944,877,681,352,329,115,77,38,618,312,306,335,158,177,72,45,27
"25세∼29세",29세,1833,990,843,646,366,280,108,72,36,658,342,316,345,172,173,76,38,38
"30세∼34세",소계,10171,5308,4863,3143,1745,1398,532,323,209,4039,2014,2025,2171,1056,1115,286,170,116
"30세∼34세",30세,1948,1010,938,669,369,300,114,74,40,689,328,361,408,195,213,68,44,24
"30세∼34세",31세,2050,1084,966,679,373,306,98,66,32,784,399,385,429,208,221,60,38,22
"30세∼34세",32세,2121,1100,1021,662,366,296,112,74,38,852,418,434,440,209,231,55,33,22
"30세∼34세",33세,2043,1080,963,602,340,262,111,55,56,850,434,416,427,222,205,53,29,24
