"연령별(1)",연령별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"연령별(1)",연령별(2),중구,중구,중구,중앙동,중앙동,중앙동,동광동,동광동,동광동,대청동,대청동,대청동,보수동,보수동,보수동,부평동,부평동,부평동,광복동,광복동,광복동,남포동,남포동,남포동,영주1동,영주1동,영주1동,영주2동,영주2동,영주2동
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"총계",소계,40524,19755,20769,2937,1405,1532,2675,1361,1314,6252,2926,3326,10521,5084,5437,4511,2144,2367,974,496,478,915,529,386,4693,2403,2290,7046,3407,3639
"0세∼4세",소계,423,232,191,19,10,9,23,13,10,56,28,28,120,59,61,37,23,14,9,7,2,2,2,0,72,39,33,85,51,34
"0세∼4세",0세,74,38,36,3,1,2,3,1,2,8,5,3,30,16,14,6,3,3,1,1,0,1,1,0,14,7,7,8,3,5
"0세∼4세",1세,69,36,33,3,1,2,3,1,2,5,2,3,19,6,13,8,5,3,1,1,0,0,0,0,14,10,4,16,10,6
"0세∼4세",2세,72,42,30,4,3,1,4,4,0,15,8,7,15,7,8,7,5,2,4,2,2,0,0,0,11,4,7,12,9,3
"0세∼4세",3세,93,53,40,4,2,2,5,3,2,14,7,7,23,10,13,7,5,2,2,2,0,0,0,0,20,13,7,18,11,7
"0세∼4세",4세,115,63,52,5,3,2,8,4,4,14,6,8,33,20,13,9,5,4,1,1,0,1,1,0,13,5,8,31,18,13
"5세∼9세",소계,694,358,336,13,6,7,46,20,26,125,67,58,202,104,98,55,29,26,14,8,6,7,4,3,84,45,39,148,75,73
"5세∼9세",5세,121,67,54,4,2,2,9,4,5,28,17,11,35,15,20,7,4,3,3,2,1,1,1,0,8,4,4,26,18,8
"5세∼9세",6세,125,65,60,2,1,1,7,4,3,25,14,11,40,21,19,9,4,5,3,1,2,2,2,0,16,7,9,21,11,10
"5세∼9세",7세,141,75,66,4,2,2,5,4,1,20,10,10,47,26,21,13,6,7,2,2,0,0,0,0,21,12,9,29,13,16
"5세∼9세",8세,157,74,83,1,1,0,12,5,7,26,12,14,42,22,20,12,6,6,3,0,3,4,1,3,23,12,11,34,15,19
"5세∼9세",9세,150,77,73,2,0,2,13,3,10,26,14,12,38,20,18,14,9,5,3,3,0,0,0,0,16,10,6,38,18,20
"10세∼14세",소계,833,415,418,21,9,12,42,21,21,137,68,69,223,117,106,96,51,45,15,7,8,13,7,6,104,56,48,182,79,103
"10세∼14세",10세,167,84,83,7,5,2,5,2,3,29,16,13,42,24,18,20,10,10,3,1,2,2,1,1,24,10,14,35,15,20
"10세∼14세",11세,166,79,87,1,0,1,12,5,7,28,14,14,35,18,17,24,13,11,4,3,1,3,1,2,22,13,9,37,12,25
"10세∼14세",12세,164,90,74,3,1,2,12,8,4,18,13,5,45,24,21,18,11,7,4,1,3,4,2,2,17,9,8,43,21,22
"10세∼14세",13세,151,83,68,6,1,5,4,2,2,29,14,15,44,28,16,15,9,6,2,1,1,2,1,1,16,10,6,33,17,16
