"연령별(1)",연령별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"연령별(1)",연령별(2),강서구,강서구,강서구,대저1동,대저1동,대저1동,대저2동,대저2동,대저2동,강동동,강동동,강동동,명지1동,명지1동,명지1동,명지2동,명지2동,명지2동,가락동,가락동,가락동,녹산동,녹산동,녹산동,가덕도동,가덕도동,가덕도동
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"총계",소계,142918,74047,68871,6556,3593,2963,7090,3986,3104,4220,2264,1956,53087,26708,26379,30409,15173,15236,2345,1251,1094,35270,19002,16268,3941,2070,1871
"0세∼4세",소계,8459,4442,4017,80,36,44,192,111,81,32,20,12,4612,2393,2219,1663,864,799,16,8,8,1829,987,842,35,23,12
"0세∼4세",0세,1285,719,566,12,5,7,27,15,12,2,2,0,772,432,340,204,99,105,3,1,2,260,161,99,5,4,1
"0세∼4세",1세,1426,768,658,13,5,8,41,29,12,4,3,1,810,421,389,230,136,94,2,1,1,321,169,152,5,4,1
"0세∼4세",2세,1697,902,795,20,8,12,29,13,16,4,2,2,940,487,453,328,184,144,2,1,1,366,203,163,8,4,4
"0세∼4세",3세,1944,975,969,16,9,7,51,25,26,13,7,6,984,494,490,435,205,230,6,3,3,429,226,203,10,6,4
"0세∼4세",4세,2107,1078,1029,19,9,10,44,29,15,9,6,3,1106,559,547,466,240,226,3,2,1,453,228,225,7,5,2
"5세∼9세",소계,11241,5782,5459,101,47,54,276,147,129,46,25,21,5067,2578,2489,3186,1666,1520,36,17,19,2450,1265,1185,79,37,42
"5세∼9세",5세,2347,1209,1138,20,10,10,61,36,25,10,6,4,1139,578,561,588,296,292,6,4,2,503,272,231,20,7,13
"5세∼9세",6세,2354,1184,1170,22,11,11,52,26,26,8,4,4,1058,519,539,689,369,320,6,2,4,508,247,261,11,6,5
"5세∼9세",7세,2303,1188,1115,14,5,9,56,32,24,8,3,5,1060,536,524,647,343,304,4,0,4,498,263,235,16,6,10
"5세∼9세",8세,2103,1077,1026,18,11,7,51,22,29,8,6,2,919,477,442,613,307,306,5,2,3,470,241,229,19,11,8
"5세∼9세",9세,2134,1124,1010,27,10,17,56,31,25,12,6,6,891,468,423,649,351,298,15,9,6,471,242,229,13,7,6
"10세∼14세",소계,8151,4127,4024,125,69,56,254,133,121,51,22,29,3125,1537,1588,2752,1394,1358,21,10,11,1761,932,829,62,30,32
"10세∼14세",10세,2017,1023,994,18,9,9,57,30,27,8,2,6,829,407,422,641,334,307,4,1,3,444,232,212,16,8,8
"10세∼14세",11세,1849,929,920,28,13,15,49,24,25,12,3,9,691,348,343,627,318,309,10,6,4,422,211,211,10,6,4
"10세∼14세",12세,1521,784,737,25,17,8,49,30,19,12,7,5,557,281,276,541,272,269,1,1,0,326,173,153,10,3,7
"10세∼14세",13세,1471,749,722,31,20,11,50,25,25,13,6,7,568,277,291,501,256,245,4,1,3,293,160,133,11,4,7
"10세∼14세",14세,1293,642,651,23,10,13,49,24,25,6,4,2,480,224,256,442,214,228,2,1,1,276,156,120,15,9,6
"15세∼19세",소계,4806,2462,2344,142,74,68,213,116,97,67,38,29,1590,778,812,1716,890,826,35,24,11,963,502,461,80,40,40
"15세∼19세",15세,1068,528,540,23,10,13,38,19,19,9,7,2,358,157,201,401,201,200,5,4,1,217,123,94,17,7,10
"15세∼19세",16세,983,509,474,22,13,9,36,21,15,13,9,4,382,196,186,320,165,155,10,7,3,190,92,98,10,6,4
"15세∼19세",17세,949,491,458,26,12,14,36,23,13,17,8,9,305,147,158,357,198,159,6,4,2,183,89,94,19,10,9
"15세∼19세",18세,942,501,441,33,19,14,50,25,25,10,7,3,295,154,141,345,181,164,10,7,3,184,100,84,15,8,7
"15세∼19세",19세,864,433,431,38,20,18,53,28,25,18,7,11,250,124,126,293,145,148,4,2,2,189,98,91,19,9,10
"20세∼24세",소계,5097,2793,2304,237,133,104,338,229,109,133,82,51,1745,896,849,1179,620,559,67,40,27,1264,712,552,134,81,53
"20세∼24세",20세,968,510,458,35,19,16,48,30,18,18,8,10,318,167,151,282,136,146,14,11,3,232,128,104,21,11,10
"20세∼24세",21세,1025,581,444,37,21,16,66,45,21,23,15,8,381,213,168,246,136,110,6,3,3,235,127,108,31,21,10
"20세∼24세",22세,967,556,411,62,40,22,66,45,21,29,15,14,299,160,139,234,129,105,15,10,5,237,143,94,25,14,11
"20세∼24세",23세,1041,563,478,48,23,25,81,58,23,32,22,10,348,160,188,219,117,102,15,7,8,272,159,113,26,17,9
