순번,행정구역(구),행정구역(동),행정구역(리),지번,교차로,신호등존재유무,가로길이,세로길이,면적,경도,위도
931,남구,용당동,,168-14,동명부두,유,8,26,207,129.0920902,35.10932428
932,남구,용당동,,168-44,용당CY,유,9,25,209,129.0929837,35.11040376
933,남구,용당동,,206-39,용당CY,유,8,37,288,129.0928842,35.11072902
934,남구,용당동,,623-34,신선대부두,유,21,17,182,129.0958803,35.11319048
935,남구,용당동,,349,동남여객,유,8,18,145,129.0949387,35.11638259
936,남구,용당동,,산47-7,부경대학교,유,4,25,102,129.0962822,35.11826964
937,남구,용당동,,Oct-99,동명오거리,유,5,25,122,129.0982755,35.12069287
938,남구,용당동,,485-13,동명오거리,유,9,26,224,129.0989245,35.12192681
939,남구,용호동,,142-1,이기대입구,유,8,24,194,129.1124075,35.12505658
940,남구,용호동,,Jan-47,이기대입구,유,8,19,150,129.1126522,35.12513765
941,남구,용호동,,911-14,용호여중입구,유,9,24,203,129.1083270,35.12736675
942,남구,용호동,,206-1,용호여중입구,유,6,24,150,129.1108042,35.12586720
943,남구,용호동,,196-8,용호여중입구,유,8,26,211,129.1094770,35.12654583
944,남구,용호동,,1635-55,면허시험장앞,유,8,25,203,129.1068142,35.12866686
945,남구,용호동,,430-2,영남제분,유,8,27,208,129.1054160,35.12985534
946,남구,용호동,,598-26,영남제분,유,5,9,40,129.1053476,35.12969358
947,남구,용호동,,598-26,영남제분,유,6,15,80,129.1055491,35.12952470
948,남구,용호동,,598-6,영남제분,유,6,8,47,129.1056200,35.12934041
949,남구,용호동,,178-12,영남제분,유,6,9,54,129.1062234,35.12958471
950,남구,용호동,,598-64,영남제분,유,7,16,115,129.1058687,35.12972242
951,남구,용호동,,430-2,영남제분,유,7,12,77,129.1056625,35.12989867
952,남구,대연동,,556-2,차량등록사업소,유,8,11,84,129.1016689,35.13150989
953,남구,대연동,,556-2,차량등록사업소,유,4,12,49,129.1016283,35.13137231
954,남구,대연동,,555-14,차량등록사업소,유,4,12,50,129.1012668,35.13149331
955,남구,대연동,,535-7,차량등록사업소,유,7,11,69,129.1033504,35.13048207
956,남구,대연동,,535-7,차량등록사업소,유,7,8,52,129.1031742,35.13062725
957,남구,대연동,,535-7,차량등록사업소,유,6,11,70,129.1034654,35.13073461
958,남구,대연동,,Sep-58,대연3동사무소,유,8,17,146,129.1007770,35.13545407
959,남구,대연동,,515-4,대연3동사무소,유,10,18,189,129.1010438,35.13349875
960,남구,대연동,,512-2,대연3동사무소,유,11,17,180,129.1010937,35.13311968
961,남구,대연동,,1077-1,석포여중,유,8,16,138,129.0914563,35.12871342
962,남구,대연동,,212-1,황령산터널입구,유,8,31,259,129.0959036,35.14678789
963,남구,대연동,,202-17,유진화학,유,8,33,272,129.0978337,35.14541710
964,남구,대연동,,986-28,박한의원(코리아호텔),유,7,16,109,129.0919686,35.13360692
965,남구,대연동,,985-9,박한의원(코리아호텔),유,7,17,117,129.0920354,35.13220280
966,남구,문현동,,968-3,배정고교,유,9,38,336,129.0668997,35.13423378
967,남구,문현동,,901-13,배정고교,유,17,37,316,129.0672840,35.13503710
968,남구,우암동,,189-2005,우암한전,유,8,17,135,129.0676028,35.12703813
969,남구,우암동,,189-1289,우암한전,유,6,19,121,129.0687403,35.12561342
970,남구,우암동,,232,우암부산은행,유,8,21,176,129.0707773,35.12517889
971,남구,우암동,,164-41,우암1PB,유,7,18,129,129.0761276,35.12457784
972,남구,우암동,,220,우암1PB,유,9,19,172,129.0775075,35.12451122
973,남구,우암동,,May-40,세방기업,유,7,20,141,129.0798815,35.12369762
974,남구,우암동,,8,감만로타리,유,8,19,156,129.0809712,35.12177914
975,남구,우암동,,8,감만로타리,유,6,11,65,129.0812739,35.12158540
976,남구,우암동,,8,감만로타리,유,6,15,89,129.0811574,35.12171502
977,남구,우암동,,8,감만로타리,유,6,10,63,129.0811367,35.12187751
978,남구,감만동,,01월 13일,감만2동사무소,유,6,17,102,129.0846646,35.12280029
979,남구,감만동,,33-380,남강시장,유,9,16,145,129.0870104,35.12358131
980,남구,감만동,,1154-3,감만중,유,8,16,130,129.0885177,35.12466554
981,남구,대연동,,1013-1,유엔로타리,유,8,26,159,129.0919461,35.13015638
982,남구,대연동,,1013-1,유엔로타리,유,9,21,161,129.0920521,35.12979635
983,남구,대연동,,1087-5,유엔로타리,유,6,18,108,129.0923178,35.12977653
984,남구,대연동,,1013-1,유엔로타리,유,8,25,158,129.0921038,35.13032182
985,남구,대연동,,29-13,대남로타리,유,4,8,35,129.1054613,35.14025398
986,남구,대연동,,03월 29일,대남로타리,유,4,6,25,129.1048274,35.13993799
987,남구,대연동,,03월 29일,대남로타리,유,5,22,110,129.1051341,35.13997607
988,남구,대연동,,11월 29일,대남로타리,유,9,27,218,129.1051315,35.13976651
989,남구,대연동,,11월 29일,대남로타리,유,7,22,131,129.1054263,35.13972604
990,수영구,남천동,,19-13,대남로타리,유,6,19,113,129.1068216,35.14100812
991,남구,대연동,,Jan-38,남부서,유,8,24,200,129.1028746,35.13871440
992,남구,대연동,,Jan-55,용소로타리,유,6,21,127,129.1000004,35.13733839
993,남구,대연동,,Jan-55,용소로타리,유,8,18,139,129.1003111,35.13674667
994,남구,대연동,,336-1,대연3PB,유,8,22,178,129.0955025,35.13557481
995,남구,대연동,,74-17,대연3PB,유,6,19,121,129.0969030,35.13592130
996,남구,대연동,,1739-18,대연로타리,유,6,19,123,129.0917138,35.13511125
997,남구,대연동,,1739-20,대연로타리,유,7,16,107,129.0919115,35.13492269
998,남구,대연동,,1739-7,대연로타리,유,7,19,120,129.0920155,35.13512431
999,남구,문현동,,274-9,대림맨션,유,6,20,124,129.0769144,35.13425461
1000,남구,문현동,,250-24,문현성당,유,9,30,242,129.0724315,35.13655482
1001,부산진구,전포동,,379-23,부산약국,유,9,48,417,129.0665779,35.14781417
1002,남구,문현동,,484-31,성동초교,유,8,41,346,129.0667477,35.14295141
1003,남구,문현동,,672,문현2PB,유,8,41,346,129.0667208,35.14469433
1004,동구,범일동,,1651,문현로타리,유,9,35,304,129.0668114,35.13692774
1005,남구,문현동,,840-7,문현로타리,유,4,12,48,129.0673608,35.13655361
1006,남구,문현동,,840-9,문현로타리,유,4,6,21,129.0675997,35.13658977
1007,남구,문현동,,403-28,문현로타리,유,5,11,44,129.0684289,35.13654318
1008,남구,문현동,,403-9,문현로타리,유,4,45,183,129.0681520,35.13661392
1009,동래구,온천동,,1486,"한아름예식장(사직케이스학원)",유,8,12,98,129.0694911,35.20350349
1010,동래구,명륜동,,304-2,명륜로타리,유,3,4,13,129.0821655,35.20742316
1011,동래구,사직동,,628-12,사직초교,유,6,16,96,129.0557049,35.20064728
1012,동래구,사직동,,628-1,사직초교,유,8,13,80,129.0562073,35.20092470
1013,동래구,명륜동,,559-10,대신산업,유,7,9,62,129.0822428,35.20529536
1014,동래구,명륜동,,304-2,동래향교,유,6,11,63,129.0838654,35.20728227
1015,동래구,명륜동,,739,동래구청앞,유,5,20,89,129.0843612,35.20481453
1016,동래구,온천동,,1486,금강시장입구,유,8,12,90,129.0694482,35.20196218
1017,동래구,명륜동,,739,동래전화국,유,7,11,76,129.0829946,35.20361510
1018,동래구,사직동,,581-33,달북초교,유,8,11,68,129.0604675,35.20282365
1019,동래구,복천동,,239-3,법륜사,유,7,8,48,129.0879449,35.20413746
1020,동래구,안락동,,151-88,안남초교,유,6,11,62,129.1078243,35.19229074
1021,동래구,안락동,,1242,안락주공205동,유,4,11,44,129.1084720,35.19412046
1022,동래구,안락동,,1242,안락주공205동,유,4,10,41,129.1087696,35.19404296
1023,동래구,안락동,,432-26,,유,6,29,183,129.0977570,35.19799038
1024,동래구,명륜동,,2-77,온천로타리,유,17,17,166,129.0846190,35.21805717
1025,동래구,온천동,,1249-16,(구)부산백화점(남),유,6,17,105,129.0673544,35.20412728
1026,동래구,명장동,,Jul-59,조양맨션(세신실업),유,6,19,109,129.1015468,35.20464862
1027,동래구,명장동,,26-15,명장2동 새마을금고,유,4,8,33,129.0996228,35.20485663
1028,동래구,온천동,,1581,법정사입구(현동카써비스앞),유,7,12,72,129.0617959,35.20423332
1029,동래구,명장동,,01월 22일,명장정수장,유,6,20,83,129.1025301,35.20617334
1030,동래구,낙민동,,Aug-79,연안교,유,5,24,91,129.0923729,35.19454355
1031,동래구,온천동,,419-89,동래원예고교,유,4,13,53,129.0766179,35.21408920
1032,동래구,온천동,,419-89,동래원예고교,유,6,13,77,129.0768431,35.21422643
1033,동래구,온천동,,419-89,동래원예고교,유,7,14,92,129.0768744,35.21402164
1034,동래구,안락동,,629-66,(주)한국미마,유,7,10,61,129.1038300,35.19378925
1035,동래구,안락동,,599-44,(주)한국미마,유,6,14,90,129.1042131,35.19452893
1036,동래구,안락동,,468-28,충렬초교입구,유,6,7,42,129.1106997,35.19895104
1037,동래구,안락동,,469-53,충렬초교입구,유,7,11,73,129.1108156,35.19904581
1038,동래구,안락동,,468-28,충렬초교입구,유,6,7,37,129.1107477,35.19915484
1039,동래구,안락동,,628-65,안락복개성심약국,유,7,12,70,129.1017878,35.19350308
1040,동래구,안락동,,469-53,안락천경정비공장입구,유,6,8,50,129.1124169,35.19880458
1041,동래구,안락동,,471-54,안락천경정비공장입구,유,6,9,55,129.1124248,35.19905616
1042,동래구,안락동,,468-28,안락천경정비공장입구,유,7,12,75,129.1122814,35.19894306
1043,동래구,낙민동,,734-6,벽산아파트104동,유,6,8,49,129.0982347,35.19420189
1044,동래구,낙민동,,633-4,벽산아파트104동,유,6,13,77,129.0983002,35.19434951
1045,동래구,낙민동,,633-73,낙민동연산교앞,유,6,7,40,129.0989542,35.19228816
1046,동래구,명장동,,147-61,혜화여고입구,유,7,8,57,129.1105841,35.20225228
1047,동래구,온천동,,1174-1,"한독온천유치원앞,직결",유,6,13,79,129.0639155,35.20886129
1048,동래구,온천동,,1174-1,"한독온천유치원앞,직결",유,5,16,70,129.0642998,35.20924370
1049,동래구,온천동,,01월 17일,금강공영주차장,유,6,13,79,129.0773572,35.22320187
1050,동래구,온천동,,173-10,온천1PB,유,10,14,137,129.0826351,35.21892083
1051,동래구,온천동,,173-10,온천1PB,유,10,13,103,129.0826875,35.21866619
1052,동래구,온천동,,173-10,온천1PB,유,13,20,169,129.0824486,35.21859675
1053,동래구,온천동,,330-4,금강공원입구,유,6,19,110,129.0764656,35.21932309
1054,동래구,온천동,,265-15,금강공원입구,유,6,13,72,129.0764928,35.21984917
1055,동래구,온천동,,276-42,금강공원입구,유,6,13,74,129.0766220,35.22112371
1056,동래구,온천동,,340-15,금정산(등산로)입구,유,6,14,86,129.0741071,35.21746884
1057,동래구,안락동,,15-94,안락현대I파크,유,6,12,70,129.1134354,35.19913749
1058,동래구,온천동,,1470,온천2동사무소,유,6,5,29,129.0727255,35.20774362
1059,동래구,명장동,,585-5,명장동SK2차아파트(혜화여중-충렬고 삼거리),유,6,13,53,129.1084633,35.20461707
1060,동래구,온천동,,1758-4,식물원앞,유,6,12,74,129.0781365,35.22505216
1061,동래구,사직동,,89-17,사직여중입구,유,6,16,101,129.0586614,35.19487673
1062,동래구,안락동,,425-5,서원사거리,유,4,8,34,129.0980795,35.20103533
1063,동래구,명장동,,321-87,명장정수장,유,7,16,101,129.1023102,35.20639796
1064,동래구,명장동,,323-2,,유,3,39,114,129.1031369,35.20700964
1065,동래구,안락동,,243-50,부산은행안남출장소,유,6,12,74,129.1050460,35.19238997
1066,동래구,안락동,,243-37,성화탕(부산은행연수원),유,7,12,80,129.1032987,35.19299429
1067,동래구,안락동,,631-66,성화탕(부산은행연수원),유,4,5,19,129.1033427,35.19283423
1068,동래구,안락동,,629-69,성화탕(부산은행연수원),유,7,12,76,129.1034560,35.19307117
1069,동래구,안락동,,468-28,충렬초교입구,유,7,11,73,129.1106292,35.19905673
1070,동래구,안락동,,440-43,안락초교입구,유,6,11,72,129.1027912,35.19987624
1071,동래구,안락동,,425-39,서원시장(복개천),유,7,14,95,129.0995272,35.20054697
1072,동래구,낙민동,,766,,유,4,15,62,129.0954186,35.19732274
1073,동래구,안락동,,628-65,안락복개성심약국,유,7,9,55,129.1016974,35.19366935
1074,동래구,낙민동,,720-2,벽산아파트104동,유,9,20,168,129.0985667,35.19386949
1075,동래구,명장동,,585-5,창신아파트,유,7,8,60,129.1078612,35.20460522
1076,동래구,낙민동,,633-92,낙민동연산교앞,유,7,22,146,129.0991829,35.19242938
1077,동래구,안락동,,142-23,안락주공아파트,유,9,10,76,129.1061784,35.19173394
1078,동래구,명장동,,308-7,국제파크아파트,유,6,17,100,129.1011732,35.20640350
1079,동래구,명장동,,308-7,국제파크아파트,유,6,19,115,129.1005566,35.20631845
1080,동래구,낙민동,,82-14,"안민초교후문앞,정문앞직결",유,6,7,43,129.0935766,35.19441215
1081,동래구,안락동,,447-9,안락1동 부산은행,유,5,12,57,129.1044143,35.19949273
1082,동래구,안락동,,449-44,안락1동 부산은행,유,6,14,86,129.1045853,35.19946986
1083,동래구,안락동,,994-10,동래고교뒷편,유,6,9,54,129.0932892,35.20125140
1084,동래구,사직동,,1019,사직해운아파트1동,유,6,14,82,129.0547024,35.19998627
1085,동래구,명장동,,32,명장현대아파트,유,6,11,62,129.1091708,35.20367200
1086,동래구,사직동,,1019,사직해운아파트1동,유,4,10,40,129.0547095,35.20013534
1087,동래구,복천동,,178-9,내성초등학교,유,6,9,54,129.0896308,35.20369183
1088,동래구,복천동,,185-9,내성초등학교,유,5,8,38,129.0894896,35.20366646
1089,동래구,명륜동,,484-2,롯데백화점동래점,유,5,15,59,129.0788086,35.21161379
1090,동래구,사직동,,1019,사직해운아파트1동,유,3,15,72,129.0549049,35.20001257
1091,동래구,온천동,,1406-44,송림약국,유,8,12,98,129.0702943,35.20963024
1092,동래구,온천동,,850-87,우진수퍼,유,9,13,114,129.0707597,35.21083870
1093,동래구,온천동,,726-3,동래럭키아파트,유,6,15,92,129.0730528,35.20902722
1094,동래구,온천동,,850-48,온천초교,유,7,13,83,129.0728220,35.21266318
1095,동래구,수안동,,709-1,삼한맨션,유,4,9,36,129.0876769,35.19441773
1096,동래구,온천동,,850-73,온천초교,유,8,12,99,129.0731440,35.21209537
1097,동래구,명륜동,,673-19,명륜PB,유,16,9,139,129.0826095,35.21059935
1098,동래구,안락동,,426-26,서원시장(복개천),유,6,13,77,129.0996296,35.20072215
1099,동래구,안락동,,425-39,서원시장(복개천),유,7,10,68,129.0994539,35.20065649
1100,동래구,안락동,,425-56,서원장여관(복개천),유,7,15,95,129.0984496,35.19884997
1101,동래구,명륜동,,743-5,동래중학교,유,7,12,76,129.0801307,35.21002259
1102,동래구,명장동,,140-49,안락초교,유,4,10,39,129.1044283,35.20151544
1103,동래구,사직동,,581-33,달북초교,유,5,20,80,129.0602825,35.20275911
1104,동래구,사직동,,1486,온천3동금강초교후문앞,유,4,4,16,129.0635305,35.20250697
1105,동래구,사직동,,107-15,사직우체국(스파속셈학원),유,8,26,217,129.0655917,35.19664499
1106,동래구,안락동,,429-50,서원시장(복개천),유,10,8,67,129.0997096,35.20059365
1107,동래구,사직동,,600-1,사직 삼환나우빌2단지 208동,유,6,14,84,129.0539087,35.19921407
1108,동래구,명륜동,,732-2,명륜주택,유,8,16,133,129.0831130,35.21322686
1109,동래구,온천동,,456-17,온천1동 신화타워상가앞,유,7,12,66,129.0792181,35.21412008
1110,동래구,온천동,,1751-1,한국방송대학입구,유,6,10,60,129.0783503,35.21666682
1111,동래구,온천동,,200-30,한국방송대학입구,유,6,9,47,129.0784686,35.21688208
1112,동래구,온천동,,185-46,대궐갈비집앞,유,7,20,93,129.0800234,35.21599283
1113,동래구,명륜동,,2-77,온천입구4거리,유,7,14,99,129.0859860,35.21717203
1114,동래구,명륜동,,665-1,농심메가마켓,유,4,10,27,129.0815594,35.20310994
1115,동래구,명륜동,,526-18,대동병원,유,3,8,23,129.0797163,35.20357388
1116,동래구,사직동,,Nov-50,주택은행(동래농협),유,7,10,62,129.0619145,35.19871717
1117,동래구,사직동,,125-16,여고초교,유,6,12,73,129.0707288,35.19838238
1118,동래구,사직동,,161-1,학성여객,유,9,13,111,129.0702518,35.19965342
1119,동래구,명륜동,,304-2,명륜로타리,유,8,11,75,129.0820596,35.20749438
1120,동래구,명장동,,514-13,명장초교,유,9,10,94,129.0981029,35.20907291
1121,동래구,명장동,,282-11,명장초교,유,6,9,55,129.0989961,35.20820842
1122,동래구,사직동,,988-1,사직로얄맨션2차,유,9,14,122,129.0586890,35.20163270
1123,동래구,명륜동,,739,동래구청앞,유,4,5,21,129.0843727,35.20468344
1124,동래구,명장동,,606-6,대명여고앞,유,8,11,82,129.0958649,35.21111815
1125,동래구,사직동,,808-1,사직야구장,유,8,10,82,129.0609060,35.19614114
1126,동래구,복천동,,239-3,법륜사,유,7,8,47,129.0882570,35.20409388
1127,동래구,사직동,,1486,온천3동금강초교후문앞,유,4,6,26,129.0636437,35.20266676
1128,동래구,명륜동,,415-1,현대아파트후문(동래향교 옆),유,7,10,52,129.0851416,35.20659743
1129,동래구,명장동,,559-4,동래자동차매매단지,유,7,9,61,129.0938990,35.21246087
1130,동래구,복천동,,산1-2,복천박물관,유,6,7,41,129.0917367,35.20792277
1131,동래구,명장동,,279-25,,유,3,14,41,129.0977515,35.20758765
1132,동래구,명장동,,279-25,명장초교정문,유,7,7,48,129.0978630,35.20755742
1133,동래구,명장동,,506-3,명서초등학교,유,7,10,67,129.1006314,35.21151332
1134,동래구,사직동,,981-97,사직여고입구,유,7,12,75,129.0536602,35.19668441
1135,동래구,복천동,,185-9,내성초등학교,유,8,8,67,129.0894322,35.20377714
1136,동래구,명륜동,,2-77,온천입구4거리,유,20,20,126,129.0860828,35.21713386
1137,동래구,사직동,,Jun-58,사직1PB,유,6,9,59,129.0642957,35.20042309
1138,동래구,온천동,,1470,동래광혜병원,유,4,10,37,129.0725290,35.20659487
1139,동래구,수안동,,158-1,,유,8,19,160,129.0850163,35.20150046
1140,동래구,명륜동,,,명륜아이파크2차 106동,유,0,0,0,129.0873852,35.21592643
1141,동래구,명륜동,,526-18,대동병원,유,9,23,191,129.0798844,35.20363525
1142,동래구,온천동,,1421-7,나눔과행복병원,유,8,24,203,129.0689546,35.20682394
1143,동래구,낙민동,,357,동래고교앞,유,9,21,177,129.0906382,35.20026538
1144,동래구,수안동,,40-19,삼한맨션,유,7,22,147,129.0878703,35.19455134
1145,동래구,낙민동,,261-1,동래시장,유,8,21,174,129.0866523,35.20120051
1146,동래구,수안동,,158-1,동래경찰서(신청사),유,8,22,179,129.0842474,35.20055545
1147,동래구,온천동,,1119-91,새들교밑삼거리,유,4,13,45,129.0658442,35.21139195
1148,동래구,안락동,,151-74,안남초교,유,8,27,209,129.1076715,35.19245237
1149,동래구,안락동,,1242,안락주공205동,유,8,21,171,129.1086991,35.19420009
1150,동래구,사직동,,749-6,사직동 쌍용아파트,유,6,19,110,129.0569200,35.19497803
1151,동래구,사직동,,968-1,사직여중입구,유,7,21,124,129.0580658,35.19516720
1152,동래구,사직동,,968-1,사직여중입구,유,7,24,158,129.0586795,35.19524535
1153,동래구,수안동,,36-44,동신아파트,유,7,22,160,129.0865899,35.19653364
1154,동래구,사직동,,808-1,롤러스케이트장,유,12,27,288,129.0628993,35.19610018
1155,동래구,사직동,,808-1,롤러스케이트장,유,8,22,174,129.0635720,35.19590920
1156,동래구,사직동,,808-1,사직야구장,유,9,26,223,129.0605405,35.19561516
1157,동래구,사직동,,808-1,사직야구장,유,11,24,263,129.0615267,35.19582273
1158,동래구,안락동,,152-7,강림유치원,유,8,27,220,129.1071231,35.19137205
1159,동래구,명장동,,321-19,명장7508부대,유,6,16,98,129.1035129,35.20839660
1160,동래구,수안동,,09월 14일,동래소방서,유,6,18,119,129.0846141,35.19898645
1161,동래구,수안동,,81-13,동래소방서,유,5,30,130,129.0848600,35.19928930
1162,서구,서대신동2가,,272,서부경찰서,유,8,18,145,129.0137442,35.11012380
1163,동래구,수안동,,Feb-56,세병교,유,7,19,125,129.0834068,35.19726931
1164,동래구,낙민동,,01월 17일,연안교,유,7,15,99,129.0918544,35.19420368
1165,동래구,낙민동,,Aug-79,연안교,유,9,13,91,129.0923883,35.19468885
1166,동래구,안락동,,Feb-65,원동교주유소,유,9,23,189,129.1116336,35.19454080
1167,동래구,안락동,,160-6,원동교주유소,유,20,15,202,129.1128262,35.19441283
1168,동래구,사직동,,855-2,사직우체국(스파속셈학원),유,6,20,131,129.0651465,35.19876471
1169,동래구,사직동,,858-1,사직우체국(스파속셈학원),유,7,21,137,129.0655596,35.19740502
1170,동래구,사직동,,808-1,사직운동장삼거리,유,9,22,189,129.0638739,35.19490233
1171,동래구,사직동,,808-1,사직운동장삼거리,유,9,22,189,129.0639688,35.19458765
1172,동래구,사직동,,808-1,사직운동장삼거리,유,7,12,77,129.0642974,35.19452712
1173,동래구,사직동,,808-1,사직운동장삼거리,유,8,24,193,129.0641109,35.19478410
1174,동래구,명장동,,01월 22일,명장정수장,유,6,16,101,129.1022802,35.20608365
1175,동래구,명장동,,01월 22일,명장정수장,유,13,9,95,129.1025594,35.20633819
1176,동래구,명장동,,59-13,조양맨션(세신실업),유,14,6,89,129.1013318,35.20453555
1177,동래구,명장동,,29-45,안락삼성아파트,유,10,15,95,129.0995729,35.20270237
1178,동래구,안락동,,425-95,서원사거리,유,6,15,89,129.0981844,35.20081774
1179,동래구,안락동,,420-20,서원사거리,유,6,20,82,129.0983915,35.20095836
1180,동래구,안락동,,462-67,(도남모방)뜨란체삼거리,유,7,21,138,129.1081171,35.19561320
1181,동래구,안락동,,200-1,(도남모방)뜨란체삼거리,유,5,6,32,129.1090166,35.19507649
1182,동래구,안락동,,198-1,(도남모방)뜨란체삼거리,유,3,15,40,129.1091638,35.19504519
1183,동래구,안락동,,462-76,(도남모방)뜨란체삼거리,유,6,24,148,129.1093618,35.19511364
1184,동래구,안락동,,581-4,남창주유소,유,8,25,202,129.1032979,35.19668903
1185,동래구,안락동,,1253,남창주유소,유,4,8,32,129.1031372,35.19657436
1186,동래구,안락동,,603-6,남창주유소,유,8,25,205,129.1048176,35.19651308
1187,동래구,안락동,,520-7,성암정형외과,유,9,19,162,129.1013988,35.19700694
1188,동래구,낙민동,,750-4,안락로타리,유,6,33,201,129.0963356,35.19835810
1189,동래구,낙민동,,422-51,안락로타리,유,6,23,125,129.0963738,35.19812545
1190,동래구,안락동,,423-13,안락로타리,유,6,32,187,129.0967539,35.19824607
1191,동래구,안락동,,748-11,안락로타리,유,6,19,118,129.0970533,35.19891029
1192,동래구,낙민동,,286,동래고교,유,8,19,151,129.0888460,35.20080501
1193,동래구,명륜동,,251-2,동래로타리,유,7,32,183,129.0837819,35.20194017
1194,동래구,명륜동,,02월 03일,동래로타리,유,7,34,172,129.0836483,35.20180971
1195,동래구,명륜동,,158-1,동래로타리,유,13,29,157,129.0839192,35.20157641
1196,동래구,명륜동,,158-1,동래로타리,유,6,30,163,129.0840666,35.20169677
1197,동래구,명륜동,,665-1,농심메가마켓,유,9,22,185,129.0814974,35.20292496
1198,동래구,온천동,,1470,늘푸른주유소,유,8,20,166,129.0745100,35.20589065
1199,동래구,온천동,,1470,동래광혜병원,유,6,20,123,129.0707671,35.20746004
1200,동래구,온천동,,1470,동래광혜병원,유,8,20,162,129.0726891,35.20665356
1201,동래구,온천동,,1486,(구)부산백화점(북),유,8,30,242,129.0680498,35.20546740
1202,동래구,온천동,,1486,(구)부산백화점(남),유,8,21,178,129.0670272,35.20398795
1203,동래구,사직동,,1486,금강초교,유,8,22,180,129.0656026,35.20190501
1204,동래구,사직동,,Jun-58,사직1PB,유,8,24,189,129.0646776,35.20032884
1205,동래구,사직동,,449-2,사직1PB,유,8,23,180,129.0647474,35.20064732
1206,동래구,사직동,,157-5,거학초교,유,7,16,110,129.0755136,35.19851975
1207,동래구,사직동,,129-32,대선사거리,유,5,15,83,129.0710806,35.19627789
1208,동래구,사직동,,133-11,대선사거리,유,6,15,97,129.0718751,35.19643598
1209,동래구,사직동,,129-32,여명중학교,유,6,17,107,129.0694201,35.19592939
1210,동래구,사직동,,106-9,사직운동장입구,유,8,20,171,129.0660863,35.19521377
1211,동래구,사직동,,106-9,사직운동장입구,유,11,40,395,129.0664326,35.19508830
1212,동래구,사직동,,106-9,사직운동장입구,유,9,38,290,129.0666042,35.19533232
1213,동래구,사직동,,106-9,사직운동장입구,유,10,36,299,129.0662982,35.19548271
1214,동래구,명륜동,,2-77,온천로타리,유,9,26,211,129.0843462,35.21798676
1215,동래구,명륜동,,172-35,온천로타리,유,8,23,197,129.0846369,35.21833689
1216,동래구,명륜동,,1486,내성로타리,유,10,40,395,129.0779828,35.20489902
1217,동래구,온천동,,1486,내성로타리,유,8,20,164,129.0774409,35.20466514
1218,동래구,명륜동,,1486,내성로타리,유,9,42,352,129.0780151,35.20408740
1219,동래구,명륜동,,1486,내성로타리,유,6,12,63,129.0783596,35.20403235
1220,동래구,사직동,,03월 02일,송월타월,유,8,17,143,129.0778234,35.19935843
1221,동래구,사직동,,1,송월타월,유,9,24,212,129.0779969,35.19963741
1222,부산진구,전포동,,343-14,진여중윗길,유,6,11,67,129.0683500,35.15437003
1223,부산진구,양정동,,455,교육위원회,유,4,18,69,129.0637818,35.17467404
1224,부산진구,개금동,,,개금금강펜테리움,유,,,,129.0204410,35.15197110
1225,부산진구,전포동,,870-1,경남공고,유,6,19,111,129.0623465,35.15209013
1226,부산진구,전포동,,870-1,경남공고,유,6,13,76,129.0622264,35.15218077
1227,부산진구,양정동,,455,교육위원회,유,7,24,88,129.0637642,35.17500212
1228,부산진구,연지동,,350-1,연지 자이2차아파트 201동 앞,유,4,12,46,129.0487976,35.17360719
1229,부산진구,연지동,,350-1,연지 자이2차아파트 201동 앞,유,4,9,34,129.0488410,35.17376155
1230,부산진구,연지동,,350-1,연지 자이2차아파트 207동 앞,유,4,13,54,129.0485562,35.17194404
1231,부산진구,양정동,,326,백조아파트,유,5,19,73,129.0693885,35.17392698
1232,부산진구,연지동,,350-1,연지 자이2차아파트 207동 앞,유,7,29,81,129.0485358,35.17182592
1233,부산진구,연지동,,350-1,연지 자이2차아파트 207동 앞,유,4,13,55,129.0486691,35.17174179
1234,부산진구,개금동,,527-51,대성예식장(개금1파출소),유,6,13,75,129.0199767,35.15007745
1235,부산진구,당감동,,818-160,동평제일교회,유,4,19,79,129.0369468,35.16509117
1236,부산진구,가야동,,588,가야반도보라APT,유,4,12,44,129.0298813,35.15008587
1237,부산진구,범천동,,1614-5,부산진초교,유,3,4,12,129.0559536,35.14805015
1238,부산진구,부암동,,123-12,,유,6,21,123,129.0518694,35.16312711
1239,부산진구,범천동,,999-19,부산진초교,유,4,9,34,129.0558480,35.14823730
1240,부산진구,범천동,,1261-46,부산진초교,유,3,4,12,129.0556032,35.14841846
1241,부산진구,가야동,,325-1,가야초등학교,유,6,14,79,129.0354779,35.15171265
1242,부산진구,가야동,,325-1,가야초등학교,유,6,6,38,129.0354632,35.15187805
1243,부산진구,가야동,,361-55,가야초등학교,유,6,8,47,129.0375270,35.15170894
1244,부산진구,개금동,,530-34,개금금고어린이집 앞,유,6,13,75,129.0175641,35.14974213
1245,부산진구,연지동,,Apr-49,성지주유소,유,13,19,121,129.0587806,35.17166614
1246,부산진구,부전동,,575,문화사거리,유,4,5,20,129.0579771,35.15446109
1247,부산진구,부암동,,May-55,월마트,유,6,10,61,129.0517049,35.16404117
1248,부산진구,부암동,,May-55,월마트,유,4,7,28,129.0516566,35.16429619
1249,부산진구,전포동,,870-1,경남공고,유,7,13,90,129.0623787,35.15236239
1250,부산진구,범천동,,1187-101,성심의원,유,7,31,140,129.0498841,35.15237305
1251,부산진구,개금동,,487-2,개금로타리(백병원),유,6,13,77,129.0203689,35.15274044
